DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,AGE_AT_BIRTH:Age at Birth,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,DATA_SOURCE:Data Source,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SERIES_FOOTNOTE:Series footnote,SUB_SECTOR:Sub Sector,SOWC_FLAG_A:SOWC flag A,DATA_SOURCE_PRIORITY:Data source priority,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,OBS_FOOTNOTE:Observation footnote,SOURCE_LINK:Citation of or link to the data source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,20.9,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,27.6,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,57.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,30.1,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,42.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,54.9,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,67.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,85.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,51,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,57.7,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,84.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,87.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,58.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife; Women age 12-49 years",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,61.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2003-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_58: PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,2018,100,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Unclear definition of the cadres included (Trained personnel),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_58: PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,2019,100,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Unclear definition of the cadres included (Trained personnel),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AIA: Anguilla,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_58: PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed December 30; 2021).,2020,100,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Unclear definition of the cadres included (Trained personnel),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,72.1,0: Units,PCNT: %,,ANTENATAL,,1,RA: Reanalysed,F: Free,,,,,,"Data downloaded from International Center for Equity in Health, Federal University of Pelotas",EOF: End of fieldwork,2002-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,72.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2002-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,81.9,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2002-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,77.8,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2002-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,100,0: Units,PCNT: %,,DELIVERY,,1,RA: Reanalysed,F: Free,,,,,,"Data downloaded from International Center for Equity in Health, Federal University of Pelotas",EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,99.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,99.9,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,99.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,100,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,100,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,99.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_33: Demographic and Health Survey 2017-2018,2018,99.7,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_35: Institute of Statistics; Institute of Public Health; and ICF. 2018. Albania Demographic and Health Survey 2017-18. Tirana; Albania: Institute of Statistics; Institute of Public Health; and ICF.,2018,99.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARE: United Arab Emirates,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_2165: UAE National health survey report 2017-2018. Dubai: Statistics & Research Centre; Ministry of Health & Prevention [United Arab Emirates]; 2018.,2018,99.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2004-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_116: Multiple Indicator Cluster Survey 2019-2020,2020,84.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_116: Multiple Indicator Cluster Survey 2019-2020,2020,90.4,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_116: Multiple Indicator Cluster Survey 2019-2020,2020,96.9,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_114: Estadísticas vitales. Información básica. Argentina - Año 2018. Buenos Aires: Ministerio de Salud [Argentina]; 2019 (in Spanish).,2018,99.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_115: PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,2019,99.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Unclear definition of the cadres included (Trained personnel),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARG: Argentina,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_118: Encuesta Nacional de Niñas; Niños y Adolescentes (MICS) 2019-2020,2020,98.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ATG: Antigua and Barbuda,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_79: PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos); accessed September 30; 2021).,2020,99,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,Unclear definition of the cadres included (Trained personnel),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
